,NOME,DISTRITO,CONCELHO,FREGUESIA,BACIA,ALTITUDE (M),COORD_X (M),COORD_Y (M),SISTEMA AQUÍFERO,ESTADO,marker site,latitude,longitude,site_id
957,AC 02,FARO,LOULÉ,ALMANSIL,RIBEIRAS DO ALGARVE,3.05,210993.0,8560.0,M12 - CAMPINA DE FARO,EM SERVIÇO,107074,37.04272,-8.00952,610/180
958,11 AH,FARO,FARO,-,RIBEIRAS DO ALGARVE,16.24,213950.0,8640.0,M12 - CAMPINA DE FARO,EM SERVIÇO,107098,37.0434,-7.97628,610/182
959,10 AH,FARO,FARO,-,RIBEIRAS DO ALGARVE,13.72,214010.0,8419.0,M12 - CAMPINA DE FARO,EM SERVIÇO,107099,37.04141,-7.97561,610/183
960,S 16,FARO,LOULÉ,ALMANSIL,RIBEIRAS DO ALGARVE,14.47,209200.0,9150.0,M12 - CAMPINA DE FARO,EM SERVIÇO,107066,37.04805,-8.02966,610/186
961,,FARO,LOULÉ,-,RIBEIRAS DO ALGARVE,24.11,210085.0,7761.0,M12 - CAMPINA DE FARO,ABANDONADO,71844,37.03553,-8.01973,610/213
962,,FARO,FARO,-,RIBEIRAS DO ALGARVE,13.03,214580.0,6400.0,M12 - CAMPINA DE FARO,EM SERVIÇO,107119,37.02321,-7.96924,610/6
963,,FARO,FARO,-,RIBEIRAS DO ALGARVE,12.0,214120.0,5950.0,M12 - CAMPINA DE FARO,EM SERVIÇO,107519,37.01916,-7.97442,610/65
964,SH F 14,FARO,FARO,FARO (SÃO PEDRO),RIBEIRAS DO ALGARVE,5.91,216820.0,7820.0,M12 - CAMPINA DE FARO,EM SERVIÇO,106628,37.03596,-7.94403,611/115
965,,FARO,FARO,CONCEIÇÃO,RIBEIRAS DO ALGARVE,13.0,218140.0,8160.0,M12 - CAMPINA DE FARO,EM SERVIÇO,107259,37.039,-7.92919,611/155
966,,FARO,FARO,FARO (SÉ),RIBEIRAS DO ALGARVE,7.72,219720.0,6910.0,M12 - CAMPINA DE FARO,EM SERVIÇO,107557,37.02771,-7.91146,611/182
967,,FARO,FARO,CONCEIÇÃO,RIBEIRAS DO ALGARVE,11.93,218303.0,8224.0,M12 - CAMPINA DE FARO,EM SERVIÇO,107260,37.03958,-7.92736,611/200
968,,FARO,FARO,FARO (SÉ),RIBEIRAS DO ALGARVE,13.0,219005.0,8405.0,M12 - CAMPINA DE FARO,EM SERVIÇO,107272,37.04119,-7.91946,611/202
969,,FARO,FARO,FARO (SÃO PEDRO),RIBEIRAS DO ALGARVE,15.51,216780.0,9578.0,M12 - CAMPINA DE FARO,EM SERVIÇO,107233,37.05181,-7.94444,611/209
970,,FARO,FARO,FARO (SÉ),RIBEIRAS DO ALGARVE,17.93,220750.0,7670.0,M12 - CAMPINA DE FARO,EM SERVIÇO,107560,37.03453,-7.89987,611/217
971,,FARO,FARO,FARO (SÃO PEDRO),RIBEIRAS DO ALGARVE,12.68,216457.0,9264.0,M12 - CAMPINA DE FARO,EM SERVIÇO,107219,37.04898,-7.94808,611/230
972,,FARO,OLHÃO,PECHÃO,RIBEIRAS DO ALGARVE,42.3,223796.0,9385.0,M11 - CHÃO DE CEVADA - QUINTA JOÃO DE OURÉM,EM SERVIÇO,107583,37.04992,-7.86558,611/231
973,,FARO,FARO,FARO (SÃO PEDRO),RIBEIRAS DO ALGARVE,19.46,217827.0,9805.0,M12 - CAMPINA DE FARO,EM SERVIÇO,107252,37.05383,-7.93267,611/233
974,,FARO,FARO,FARO (SÃO PEDRO),RIBEIRAS DO ALGARVE,19.4,217828.0,9794.0,M12 - CAMPINA DE FARO,EM SERVIÇO,107251,37.05373,-7.93266,611/234
975,,FARO,FARO,FARO (SÃO PEDRO),RIBEIRAS DO ALGARVE,10.36,217080.0,7692.0,M12 - CAMPINA DE FARO,EM SERVIÇO,107240,37.03481,-7.94111,611/236
976,,FARO,FARO,FARO (SÃO PEDRO),RIBEIRAS DO ALGARVE,10.19,217096.0,7688.0,M12 - CAMPINA DE FARO,EM SERVIÇO,107550,37.03477,-7.94093,611/237
977,,FARO,FARO,CONCEIÇÃO,RIBEIRAS DO ALGARVE,40.27,221810.0,9400.0,M10 - S. JOÃO DA VENDA - QUELFES,EM SERVIÇO,107307,37.0501,-7.8879,611/238
978,,FARO,OLHÃO,MONCARAPACHO,RIBEIRAS DO ALGARVE,7.75,231719.75,8973.37,M10 - S. JOÃO DA VENDA - QUELFES,ABANDONADO,107582,37.04597,-7.77652,611/4
979,,FARO,OLHÃO,PECHÃO,RIBEIRAS DO ALGARVE,38.0,225150.0,9120.0,M10 - S. JOÃO DA VENDA - QUELFES,EM SERVIÇO,107344,37.04749,-7.85036,611/77
980,,FARO,OLHÃO,PECHÃO,RIBEIRAS DO ALGARVE,15.5,224816.0,7602.0,M12 - CAMPINA DE FARO,EM SERVIÇO,107340,37.03382,-7.85417,611/91
981,JK 6/TD 1,FARO,OLHÃO,PECHÃO,RIBEIRAS DO ALGARVE,24.89,224800.0,8728.0,M11 - CHÃO DE CEVADA - QUINTA JOÃO DE OURÉM,ABANDONADO,107341,37.04397,-7.85431,611/94
