Date,399/12
1998-06-16,1.7
1998-08-04,2.86
1998-09-17,3.23
1998-10-13,2.92
1998-11-04,1.9
1998-12-09,1.67
1999-01-12,1.64
1999-03-09,1.67
1999-06-24,3.02
1999-09-22,3.94
1999-12-17,1.6
2000-04-27,1.51
2000-06-20,2.23
2001-03-27,1.34
2001-05-14,1.62
2001-07-26,2.82
2001-12-13,1.68
2002-01-17,1.98
2002-03-27,1.49
2002-04-29,1.53
2002-06-28,3.85
2002-09-30,3.43
2002-10-22,1.92
2002-11-27,1.56
2003-01-28,1.37
2003-04-23,1.59
2003-06-23,2.48
2003-10-23,1.73
2003-11-27,1.04
2004-02-11,1.38
2004-04-28,1.86
2004-06-09,1.58
2004-07-09,3.57
2004-09-20,3.96
2004-10-26,1.97
2004-12-17,1.57
2005-01-26,1.58
2005-02-24,1.61
2005-03-16,1.87
2005-04-08,1.63
2005-07-13,4.95
2005-09-21,4.47
2005-11-24,1.56
2006-01-26,1.41
2006-03-29,1.4
2006-05-18,1.44
2006-06-30,3.14
2006-07-31,3.77
2006-09-28,4.45
2006-11-24,1.56
2006-12-15,1.31
2007-01-29,1.62
2007-03-30,1.5
