Date,593/5
1996-08-01,54.25
1996-10-01,54.17
1996-12-04,54.45
1997-02-03,54.37
1997-03-04,54.5
1997-04-01,55.74
1997-05-02,55.8
1997-06-03,55.6
1997-07-03,56.7
1997-08-04,56.95
1997-09-01,57.61
1997-10-01,54.7
1997-11-04,54.65
1997-12-02,54.5
1998-01-06,54.5
1998-02-02,54.43
1998-03-04,54.3
1998-04-02,57.0
1998-05-04,54.6
1998-07-03,54.67
1998-08-07,55.6
1998-10-01,54.62
1998-11-04,54.4
1998-12-02,55.0
1999-01-04,54.7
1999-02-03,54.5
1999-03-04,54.64
1999-04-06,55.0
1999-05-10,54.48
1999-07-06,54.73
1999-09-02,54.8
1999-10-07,55.0
1999-11-02,54.58
1999-12-02,54.8
2000-01-04,54.53
2000-02-01,54.48
2000-03-02,54.75
2000-04-06,54.7
2000-05-03,54.45
2000-06-06,55.0
2000-07-05,55.54
2000-08-02,55.61
2000-09-06,55.0
2000-11-03,55.95
2001-01-04,54.45
2001-02-01,54.4
2001-03-01,54.41
2001-04-02,54.5
2001-05-09,54.37
2001-07-04,54.66
2001-08-09,55.0
2001-09-06,55.32
2002-01-04,54.39
2002-02-05,54.6
2002-03-05,51.5
2002-04-03,52.65
2002-10-03,55.6
2002-11-05,54.4
2002-12-05,54.8
2003-02-06,54.35
2003-04-03,54.75
2003-08-05,55.7
2003-09-03,54.63
2003-10-06,51.45
2004-01-12,54.52
2004-02-05,54.5
2004-03-08,54.29
2004-04-15,54.48
2004-05-12,54.42
2004-07-17,54.42
2004-08-19,54.42
2004-10-13,54.39
2004-11-11,53.92
2004-12-06,54.68
2005-02-09,54.56
2005-04-08,54.63
2005-05-04,54.63
2005-06-03,54.59
2005-07-05,54.72
2005-07-29,54.61
2005-09-05,54.64
2005-10-06,54.63
2006-01-05,54.47
2006-02-09,54.45
2006-04-06,54.22
2006-06-08,54.31
2006-08-09,54.1
2006-11-30,54.44
2007-05-02,54.5
2007-06-08,54.4
2007-11-30,54.54
2008-05-06,54.18
2008-10-02,54.2
2008-12-04,54.22
2009-03-05,54.15
2009-07-09,54.45
2009-08-14,54.46
2009-09-28,54.45
2009-11-05,55.4
2010-02-11,55.37
2010-08-04,55.33
2010-11-18,55.4
2010-12-09,55.4
2011-01-20,55.33
2011-02-03,55.32
2011-03-31,55.3
2011-05-05,55.34
2011-06-16,55.31
2011-08-23,55.34
2012-05-03,54.35
2012-08-09,54.45
2012-11-15,54.34
2012-12-20,54.3
2013-01-24,54.31
2013-03-21,54.3
2013-05-23,54.34
2013-07-30,54.39
2013-08-29,54.47
2013-11-28,54.36
2014-01-28,54.32
2014-02-28,54.36
2014-05-29,54.84
2014-06-24,54.44
2014-08-07,54.48
2014-10-30,54.3
2014-12-16,54.27
2015-01-12,54.28
2015-02-05,54.28
2015-03-05,54.27
2015-04-13,54.27
2015-07-02,54.39
2015-09-17,54.4
2015-10-15,54.38
2015-11-12,54.19
2015-12-03,54.25
2016-01-14,54.3
2016-03-03,54.4
2016-05-19,54.45
