Date,511/71
2000-10-10,2.52
2000-11-15,2.56
2000-12-19,2.57
2001-01-18,2.18
2001-02-14,1.71
2001-03-22,1.53
2001-05-04,1.79
2001-06-01,1.77
2001-06-22,1.87
2001-08-01,1.98
2001-09-12,2.08
2002-01-11,1.99
2002-03-06,1.86
2002-04-03,1.66
2002-05-09,2.04
2002-06-06,1.35
2002-07-09,1.53
2002-08-01,1.72
2002-09-04,1.86
2002-10-02,1.98
2002-11-29,2.06
2003-01-03,1.68
2003-02-03,1.85
2003-03-03,1.59
2003-04-03,1.57
2003-05-06,1.5
2003-06-03,0.53
2003-07-01,0.53
2003-08-20,2.99
2003-09-20,2.93
2003-10-09,2.82
2003-12-17,0.54
