Date,603/73
2008-02-07,32.28
2008-02-29,32.23
2008-04-08,32.24
2008-05-08,32.24
2008-06-05,32.3
2008-07-07,32.36
2008-08-13,32.49
2008-09-08,32.46
2008-10-08,32.32
2008-12-02,32.29
2009-01-09,32.25
2009-02-10,32.18
2009-03-02,32.18
2009-06-04,32.35
2009-07-02,32.4
2009-08-06,32.49
2009-09-09,32.7
2009-09-28,32.5
2009-11-06,32.39
2009-12-03,32.43
2010-01-13,32.12
2010-02-09,32.0
2010-03-04,31.78
2010-04-08,31.82
2010-05-12,31.82
2010-06-02,31.9
2010-07-01,31.96
2010-08-09,32.0
2010-10-01,31.96
2010-11-09,32.06
2010-12-16,31.98
2011-01-20,31.98
2011-02-10,31.94
2011-03-02,31.95
2011-04-07,31.94
2011-05-19,31.84
2011-06-07,31.88
2011-07-20,32.09
2011-08-09,32.12
2011-09-21,32.08
2012-02-09,32.2
2012-03-14,32.22
2012-04-03,32.18
2012-05-09,32.2
2012-06-18,32.32
2012-07-10,32.32
2012-07-31,32.37
2012-09-11,32.37
2012-10-09,32.3
2012-11-20,32.08
2012-12-14,32.14
2013-01-22,32.24
2013-02-22,32.2
2013-03-22,32.12
2013-04-23,32.18
2013-05-28,32.22
2013-07-05,32.28
2013-07-31,32.3
2013-08-28,32.27
2013-09-18,32.3
2013-12-02,32.22
2014-01-28,32.3
2014-03-06,32.32
2014-04-10,32.28
2014-06-06,32.4
2014-06-30,32.4
2014-08-05,32.44
2014-09-01,32.42
2014-10-01,32.36
2014-11-11,32.17
2014-12-17,32.18
2015-01-14,32.3
2015-02-12,32.28
2015-03-16,32.36
2015-04-14,32.3
2015-05-28,32.35
2015-07-01,32.4
2015-07-29,32.49
2015-09-16,32.45
2015-10-15,32.47
2015-11-10,32.28
2015-12-15,32.21
2016-01-12,32.2
2016-02-12,32.18
2016-03-10,32.23
2016-04-13,32.28
2016-05-11,32.24
2016-07-12,32.2
2016-08-12,32.42
2016-09-27,32.44
2016-10-26,32.46
2016-11-17,32.18
2016-12-12,32.23
2017-01-12,32.2
2017-02-13,32.18
2017-03-07,32.45
2017-04-20,32.5
2017-05-09,32.25
2017-06-06,32.35
2018-09-17,32.34
2018-10-03,32.45
2018-11-15,32.3
2018-12-17,32.22
2019-01-14,32.34
2019-02-12,32.39
2019-03-19,32.44
2019-04-09,32.48
2019-05-09,32.37
2019-06-13,32.43
2019-07-09,32.5
2019-08-02,32.52
2019-09-03,32.75
2019-10-10,32.79
2019-11-13,32.73
2019-12-12,32.52
2020-01-21,32.46
2020-02-07,32.46
2020-03-09,32.55
2020-06-05,32.94
2020-07-08,32.54
2020-08-01,32.56
2020-09-08,32.63
2020-10-08,32.69
2020-11-05,32.6
2020-12-16,32.33
2021-01-12,32.33
2021-02-02,32.24
2021-03-04,32.23
2021-04-12,32.3
2021-05-06,32.29
2021-06-14,32.64
2021-07-01,32.47
2021-08-01,32.5
2021-09-01,32.55
2021-10-04,32.75
2021-11-03,32.48
2021-12-02,32.45
2022-01-05,32.4
2022-02-07,32.4
2022-03-10,32.45
2022-04-04,32.35
2022-05-12,32.67
2022-06-01,32.45
2022-07-05,32.63
2022-08-03,32.63
2022-09-01,32.71
2022-10-13,32.64
2022-11-02,32.56
2022-12-21,32.45
2023-01-16,32.47
2023-02-02,32.51
2023-03-17,32.45
2023-04-05,32.48
2023-05-09,32.61
2023-06-01,32.65
2023-09-13,39.59
2023-10-11,32.76
2023-11-08,32.62
2024-01-19,32.49
2024-02-16,32.45
2024-04-02,32.43
2024-05-22,32.52
2024-06-18,32.44
2024-07-04,32.53
2024-08-12,33.15
