Date,596/218
1990-10-02 00:00:00,7.1
1990-11-05 00:00:00,7.05
1990-12-04 00:00:00,7.1
1991-01-04 00:00:00,7.15
1991-02-04 00:00:00,7.25
1991-03-07 00:00:00,5.4
1991-04-03 00:00:00,5.08
1991-05-03 00:00:00,5.13
1991-06-04 00:00:00,5.22
1991-07-02 00:00:00,6.26
1991-08-02 00:00:00,6.45
1991-09-04 00:00:00,7.1
1991-10-01 00:00:00,7.4
1991-11-04 00:00:00,7.45
1991-12-04 00:00:00,7.05
1992-01-02 00:00:00,6.8
1992-02-03 00:00:00,6.85
1992-03-10 00:00:00,6.21
1992-04-03 00:00:00,6.5
1992-05-05 00:00:00,6.63
1992-06-02 00:00:00,7.12
1992-07-02 00:00:00,7.5
1992-08-04 00:00:00,8.05
1992-09-02 00:00:00,8.42
1992-10-02 00:00:00,8.6
1992-11-02 00:00:00,8.66
1992-12-02 00:00:00,8.4
1993-01-05 00:00:00,7.8
1993-02-01 00:00:00,7.58
1993-03-02 00:00:00,7.2
1993-04-02 00:00:00,7.24
1993-05-03 00:00:00,7.3
1993-06-01 00:00:00,7.46
1993-07-02 00:00:00,8.03
1993-08-03 00:00:00,8.25
1993-09-08 00:00:00,8.93
1993-10-11 00:00:00,9.05
1993-11-05 00:00:00,8.85
1993-12-02 00:00:00,7.76
1994-01-03 00:00:00,7.47
1994-02-03 00:00:00,7.34
1994-03-07 00:00:00,7.15
1994-04-08 00:00:00,7.1
1994-05-02 00:00:00,7.5
1994-06-03 00:00:00,7.77
1994-07-05 00:00:00,8.15
1994-08-05 00:00:00,8.4
1994-09-08 00:00:00,8.52
1994-10-04 00:00:00,9.5
1994-11-02 00:00:00,9.45
1994-12-05 00:00:00,9.4
1995-01-03 00:00:00,9.22
1995-02-01 00:00:00,9.18
1995-03-01 00:00:00,9.1
1995-04-06 00:00:00,9.15
1995-05-03 00:00:00,9.2
1995-06-01 00:00:00,9.9
1995-07-05 00:00:00,10.05
1995-08-01 00:00:00,10.55
1995-10-03 00:00:00,10.59
1995-11-03 00:00:00,10.49
1995-12-06 00:00:00,9.95
1996-01-02 00:00:00,6.21
1996-01-31 00:00:00,6.0
1996-03-04 00:00:00,5.46
1996-04-01 00:00:00,5.12
1996-06-04 00:00:00,5.3
1996-07-02 00:00:00,5.95
1996-08-02 00:00:00,6.72
1996-09-02 00:00:00,7.17
1996-10-02 00:00:00,7.16
1996-11-05 00:00:00,7.16
1996-12-03 00:00:00,6.6
1997-01-03 00:00:00,5.65
1997-02-04 00:00:00,4.76
1997-04-02 00:00:00,5.22
1997-05-02 00:00:00,5.2
1997-06-03 00:00:00,5.5
1997-07-04 00:00:00,6.0
1997-08-01 00:00:00,6.59
1997-09-02 00:00:00,7.3
1997-10-02 00:00:00,7.1
1997-11-03 00:00:00,6.94
1997-12-04 00:00:00,5.8
1998-01-02 00:00:00,6.86
1998-01-05 00:00:00,4.9
1998-02-03 00:00:00,4.6
1998-03-05 00:00:00,4.25
1998-04-01 00:00:00,4.64
1998-05-05 00:00:00,5.0
1998-06-01 00:00:00,5.25
1998-07-01 00:00:00,5.88
1998-08-07 00:00:00,6.2
1998-09-04 00:00:00,6.96
1998-10-06 00:00:00,6.7
1998-12-02 00:00:00,6.96
1999-01-05 00:00:00,6.98
1999-02-05 00:00:00,6.84
1999-03-02 00:00:00,7.04
1999-04-05 00:00:00,7.05
1999-05-04 00:00:00,7.24
1999-06-01 00:00:00,7.6
1999-07-01 00:00:00,7.96
1999-08-03 00:00:00,8.33
1999-09-01 00:00:00,8.6
1999-10-06 00:00:00,8.6
1999-11-02 00:00:00,8.45
1999-12-03 00:00:00,8.5
2000-01-03 00:00:00,8.27
2000-02-02 00:00:00,8.2
2000-03-01 00:00:00,8.22
2000-04-03 00:00:00,8.36
2000-05-02 00:00:00,7.98
2000-06-01 00:00:00,7.6
2000-07-03 00:00:00,8.1
2000-07-31 00:00:00,8.58
2000-09-05 00:00:00,8.96
2000-10-02 00:00:00,8.95
2000-11-02 00:00:00,8.0
2000-12-05 00:00:00,8.9
2001-01-03 00:00:00,7.94
2001-02-02 00:00:00,6.8
2001-03-02 00:00:00,6.3
2001-04-03 00:00:00,6.5
2001-05-04 00:00:00,6.3
2001-06-01 00:00:00,6.55
2001-07-03 00:00:00,7.24
2001-08-01 00:00:00,7.34
2001-09-05 00:00:00,8.0
2001-10-02 00:00:00,8.2
2001-11-05 00:00:00,7.52
2001-12-04 00:00:00,7.3
2002-01-08 00:00:00,6.58
2002-02-05 00:00:00,5.6
2002-03-04 00:00:00,5.88
2002-04-01 00:00:00,5.7
2002-05-08 00:00:00,5.71
2002-06-06 00:00:00,6.01
2002-07-01 00:00:00,6.47
2002-10-01 00:00:00,7.8
2002-11-04 00:00:00,7.04
2002-12-03 00:00:00,7.0
2003-01-02 00:00:00,6.15
2003-02-04 00:00:00,5.6
2003-03-05 00:00:00,5.5
2003-04-02 00:00:00,5.38
2003-05-07 00:00:00,5.26
2003-06-02 00:00:00,5.8
2003-07-02 00:00:00,6.3
2003-08-04 00:00:00,7.0
2003-09-02 00:00:00,7.08
2003-10-03 00:00:00,7.2
2003-11-03 00:00:00,6.95
2003-12-02 00:00:00,6.71
2004-01-05 00:00:00,5.9
2004-02-02 00:00:00,5.84
2004-03-01 00:00:00,5.88
2004-04-01 00:00:00,5.92
2004-05-04 00:00:00,6.21
2004-06-03 00:00:00,6.49
2004-07-01 00:00:00,7.0
2004-08-05 00:00:00,7.61
2004-09-02 00:00:00,7.71
2004-10-01 00:00:00,7.85
2004-11-05 00:00:00,7.74
2004-12-01 00:00:00,7.67
2004-12-29 00:00:00,7.55
2005-02-01 00:00:00,7.7
2005-03-02 00:00:00,7.87
2005-04-01 00:00:00,8.01
2005-05-02 00:00:00,8.17
2005-05-27 00:00:00,8.38
2005-07-04 00:00:00,8.45
2005-08-04 00:00:00,8.91
2005-09-01 00:00:00,9.1
2005-10-10 00:00:00,9.23
2005-12-05 00:00:00,8.1
2006-01-04 00:00:00,7.73
2006-01-30 00:00:00,7.35
2006-03-02 00:00:00,6.87
2006-04-07 00:00:00,6.41
2006-05-02 00:00:00,6.53
2006-06-01 00:00:00,7.02
2006-07-03 00:00:00,7.55
2006-07-31 00:00:00,7.93
2006-09-04 00:00:00,8.2
2006-10-02 00:00:00,8.3
2006-10-30 00:00:00,8.1
2006-12-04 00:00:00,6.2
2007-01-03 00:00:00,5.9
2007-02-07 00:00:00,5.87
2007-03-05 00:00:00,5.95
2007-04-11 00:00:00,6.25
2007-04-30 00:00:00,6.3
2007-06-04 00:00:00,6.68
2007-07-03 00:00:00,7.25
2007-08-06 00:00:00,7.8
2007-09-03 00:00:00,7.96
2007-10-01 00:00:00,7.91
2007-11-10 00:00:00,8.03
2007-12-03 00:00:00,7.97
2008-01-02 00:00:00,7.4
2008-02-04 00:00:00,7.08
2008-03-03 00:00:00,6.95
2008-04-09 00:00:00,6.83
2008-05-05 00:00:00,6.38
2008-06-02 00:00:00,6.36
2008-07-02 00:00:00,6.96
2008-08-01 00:00:00,7.31
2008-09-01 00:00:00,7.72
2008-09-30 00:00:00,7.6
2008-11-04 00:00:00,7.37
2008-11-28 00:00:00,7.4
2009-01-02 00:00:00,7.38
2009-02-11 00:00:00,6.57
2009-02-27 00:00:00,6.23
2009-03-31 00:00:00,6.32
2009-04-29 00:00:00,6.52
2009-05-29 00:00:00,6.85
2009-06-30 00:00:00,7.5
2009-07-31 00:00:00,7.77
2009-09-01 00:00:00,8.1
2009-09-30 00:00:00,8.1
2009-10-30 00:00:00,8.1
2009-12-18 00:00:00,8.14
2010-01-06 00:00:00,7.03
2010-01-29 00:00:00,5.6
2010-03-01 00:00:00,5.03
2010-04-05 00:00:00,4.58
2010-04-30 00:00:00,4.67
2010-06-08 00:00:00,5.17
2010-07-13 00:00:00,5.77
2010-08-10 00:00:00,6.14
2010-09-02 00:00:00,6.46
2010-10-06 00:00:00,6.58
2010-11-11 00:00:00,6.45
2010-12-13 00:00:00,6.0
2011-01-12 00:00:00,5.14
2011-02-04 00:00:00,4.91
2011-03-11 00:00:00,4.56
2011-04-01 00:00:00,4.51
2011-05-02 00:00:00,4.48
2011-06-09 00:00:00,4.77
2011-07-01 00:00:00,4.84
2011-08-04 00:00:00,5.8
2011-09-02 00:00:00,6.1
2012-02-08 00:00:00,6.12
2012-03-14 00:00:00,6.4
2012-04-19 00:00:00,6.55
2012-05-10 00:00:00,6.6
2012-06-01 00:00:00,6.9
2012-07-04 00:00:00,7.3
2012-08-01 00:00:00,7.58
2012-09-03 00:00:00,7.78
2012-10-10 00:00:00,7.78
2012-11-20 00:00:00,7.24
2012-12-19 00:00:00,6.74
2013-01-23 00:00:00,6.64
2013-02-28 00:00:00,5.59
2013-03-28 00:00:00,5.76
2013-05-03 00:00:00,5.95
2013-06-19 00:00:00,6.3
2013-08-06 00:00:00,7.04
2013-08-27 00:00:00,7.28
2013-09-25 00:00:00,7.38
2013-11-26 00:00:00,7.2
2014-01-21 00:00:00,7.18
2014-03-05 00:00:00,6.85
2014-04-17 00:00:00,6.81
2014-05-30 00:00:00,7.04
2014-06-25 00:00:00,7.34
2014-08-08 00:00:00,7.74
2014-09-19 00:00:00,7.95
2015-02-11 00:00:00,6.7
2015-03-10 00:00:00,6.82
2015-04-09 00:00:00,6.83
2015-05-18 00:00:00,7.31
2015-06-15 00:00:00,7.65
2015-07-22 00:00:00,7.86
2015-10-08 00:00:00,8.3
2015-11-09 00:00:00,7.73
2015-12-21 00:00:00,7.28
2016-02-18 00:00:00,6.85
2016-03-09 00:00:00,6.79
2016-04-14 00:00:00,6.87
2016-05-10 10:50:00,6.88
2016-08-10 00:00:00,7.55
2016-09-28 00:00:00,8.03
