Date,558/53
2000-10-11,9.61
2000-11-14,9.72
2000-12-13,9.64
2001-01-16,7.5
2001-02-13,6.7
2001-03-20,6.29
2001-04-27,7.24
2001-05-29,7.58
2001-06-19,7.82
2001-07-31,8.3
2001-09-11,8.71
2002-01-08,7.76
2002-03-05,7.71
2002-04-02,7.71
2002-05-07,8.09
2002-06-04,8.31
2002-07-09,9.26
2002-07-31,9.66
2002-09-03,10.18
2002-10-01,10.04
2002-11-27,9.49
2003-01-02,7.93
2003-02-02,8.42
2003-03-04,10.86
2003-04-04,9.07
2003-05-05,8.51
2003-06-02,10.32
2003-07-01,10.59
2003-08-19,11.8
2003-09-16,11.41
2003-10-08,11.28
2003-11-05,10.02
2003-12-16,8.71
2004-02-18,9.17
