Date,602/70
1990-10-01,36.5
1990-11-02,24.17
1990-12-03,23.5
1991-01-03,20.1
1991-02-01,18.8
1991-03-01,20.47
1991-04-02,17.42
1991-05-02,17.45
1991-06-03,17.5
1991-07-03,23.4
1991-08-01,23.9
1991-09-03,23.95
1991-10-01,24.15
1991-11-05,29.88
1991-12-02,29.22
1992-01-02,23.9
1992-02-04,22.27
1992-03-05,22.25
1992-04-02,22.52
1992-05-04,23.1
1992-06-03,40.5
1992-10-01,45.0
1992-12-03,45.0
1993-01-04,28.8
1993-02-04,26.6
1993-03-01,25.4
1993-04-01,24.4
1993-05-03,23.5
1993-06-04,24.1
1993-07-01,23.43
1993-08-02,24.3
1993-09-01,43.0
1993-09-03,24.32
1993-10-06,28.95
1993-11-02,27.2
1993-11-03,45.0
1993-12-03,24.84
1994-01-04,24.8
1994-02-02,22.75
1994-03-02,21.8
1994-04-04,22.7
1994-05-03,22.1
1994-06-01,21.63
1994-07-04,22.2
1994-08-04,23.1
1994-09-01,23.25
1994-10-06,28.37
1994-11-03,28.3
1994-12-02,28.25
1995-01-02,24.58
1995-02-02,24.7
1995-03-02,23.4
1995-04-04,23.5
1995-05-02,21.9
1995-06-01,21.39
1995-07-04,21.1
1995-08-02,21.2
1995-10-02,21.3
1995-11-02,21.35
1995-12-07,22.66
1996-01-03,21.86
1996-01-30,20.0
1996-03-01,17.82
