Date,604/23
1990-10-04,5.8
1990-11-02,5.85
1990-12-05,5.9
1991-01-08,5.45
1991-02-05,5.45
1991-03-05,5.3
1991-04-04,5.25
1991-05-03,5.4
1991-06-05,5.6
1991-07-02,6.95
1991-09-06,5.95
1991-10-03,5.82
1991-11-04,5.85
1991-12-04,5.75
1992-01-07,5.75
1992-02-06,5.8
1992-03-09,5.8
1992-04-14,5.7
1992-05-05,5.85
1992-06-03,5.8
1992-07-01,5.8
1992-08-06,5.9
1992-09-03,5.85
1992-10-07,6.0
1992-11-04,5.9
1992-12-03,5.8
1993-01-06,5.85
1993-02-04,5.92
1993-03-03,5.87
1993-04-07,5.9
1993-05-05,5.9
1993-06-01,5.86
1993-07-02,5.88
1993-08-04,5.9
1993-09-03,5.95
1993-10-06,5.8
1993-11-08,5.68
1993-12-06,5.5
1994-01-05,5.4
1994-02-02,5.89
1994-03-02,5.8
1994-04-06,5.96
1994-05-06,5.93
1994-07-05,6.04
1994-08-08,6.07
1994-09-04,6.1
1994-10-01,6.08
1994-11-11,5.9
1994-12-06,5.8
1995-01-06,6.02
1995-02-08,6.05
1995-03-03,6.0
1995-04-18,5.93
1995-05-05,6.02
1995-06-07,6.02
1995-07-11,6.09
1995-08-04,6.15
1995-10-04,6.31
1995-11-06,5.58
1995-12-14,5.8
1996-01-10,5.05
1996-02-02,5.0
1996-03-13,4.4
