Date,596/284
1993-03-02,48.1
1993-04-02,50.04
1993-05-03,48.16
1993-06-04,48.56
1993-07-02,49.8
1993-08-03,50.15
1993-09-08,51.62
1993-10-11,51.8
1993-11-05,52.0
1993-12-09,49.9
1994-01-05,48.9
1994-02-08,47.85
1994-03-02,46.5
1994-04-08,46.0
1994-05-06,46.1
1994-07-07,46.5
1994-08-08,47.2
1994-09-12,48.3
1994-10-07,53.18
1994-11-07,53.25
1994-12-13,53.3
1995-01-05,53.25
1995-02-07,53.65
1995-03-07,54.0
1995-04-17,54.6
1995-05-09,54.98
1995-06-06,55.94
1995-07-10,56.9
1995-08-07,57.2
1995-10-06,59.8
1995-11-07,59.9
1995-12-15,58.74
1996-01-09,54.6
1996-02-07,45.65
1996-03-12,39.45
