Date,601/4
1990-10-01,43.49
1990-11-02,45.88
1990-12-03,47.3
1991-01-03,47.6
1991-02-01,48.3
1991-03-01,48.98
1991-04-02,48.9
1991-05-02,49.27
1991-06-03,48.7
1991-07-03,50.5
1991-08-01,51.2
1991-09-03,51.3
1991-10-01,52.4
1991-11-05,53.05
1991-12-02,53.55
1992-01-03,54.2
1992-02-04,54.95
1992-03-05,55.0
1992-04-02,55.8
1992-05-04,55.98
1992-06-01,57.2
1992-07-01,57.72
1992-08-03,57.92
1992-09-01,58.15
1992-10-01,60.0
1992-11-03,60.05
1992-12-02,61.0
1993-01-04,61.35
1993-02-02,61.7
1993-03-01,62.0
1993-04-01,61.9
1993-05-03,62.2
1993-06-02,62.5
1993-07-01,63.26
1993-08-02,63.8
1993-09-03,63.96
1993-10-06,64.4
1993-11-02,64.48
1993-12-03,64.45
1994-01-04,64.53
1994-02-02,64.6
1994-03-02,64.66
1994-04-04,64.67
1994-05-03,64.75
1994-06-01,64.84
1994-07-04,65.24
1994-08-04,65.18
1994-09-01,65.32
1996-01-30,57.55
1996-03-01,59.78
1996-04-11,56.2
1996-06-03,53.98
1996-07-01,53.65
1996-08-01,53.7
1996-09-01,53.79
1996-10-01,54.13
1996-11-04,54.7
1996-12-04,55.13
1997-01-02,53.7
1997-02-03,51.89
1997-03-04,51.63
1997-04-01,51.32
1997-05-02,51.3
1997-06-03,51.6
1997-07-03,52.65
1997-08-04,52.53
1997-09-01,53.04
1997-10-01,53.2
1997-11-04,54.11
1997-12-02,54.1
1998-01-06,53.5
1998-02-02,53.2
1998-03-04,51.6
1998-04-02,51.4
1998-05-04,51.26
1998-06-02,51.3
1998-07-03,51.9
1998-08-07,52.5
1998-09-03,52.9
1998-10-06,53.42
1998-11-04,53.92
1998-12-02,54.45
1999-01-04,55.08
1999-03-04,56.24
1999-04-06,57.0
1999-05-10,57.55
1999-06-02,58.2
1999-07-06,59.0
1999-08-02,59.58
1999-09-02,60.28
1999-10-07,61.0
1999-11-02,61.38
1999-12-02,61.9
2002-01-04,62.42
2002-02-04,62.6
2005-10-07,70.0
2005-12-07,70.0
2006-01-03,70.0
2006-02-01,70.0
2006-03-01,70.0
2006-04-06,70.0
2006-05-31,70.0
2006-08-02,70.0
2006-10-03,70.0
2006-11-08,70.0
2006-12-05,70.0
2007-01-05,70.0
2007-04-04,70.0
2007-05-02,70.0
2007-06-08,70.0
2007-08-01,70.0
2007-08-30,70.0
2007-10-03,70.0
2007-11-08,70.0
2007-11-29,70.0
2008-01-03,70.0
