Date,512/50
2000-07-19,5.64
2000-10-24,5.5
2000-11-15,5.49
2000-11-16,5.48
2000-11-17,5.5
2000-11-18,5.51
2000-11-19,5.53
2000-11-20,5.54
2000-11-21,5.55
2000-11-22,5.55
2000-11-23,5.57
2000-11-24,5.58
2000-11-25,5.59
2000-11-26,5.6
2000-11-27,5.62
2000-11-28,5.62
2000-11-29,5.63
2000-11-30,5.64
2000-12-01,5.65
2000-12-02,5.67
2000-12-03,5.68
2000-12-04,5.69
2000-12-05,5.7
2000-12-06,5.71
2000-12-07,5.71
2000-12-08,5.73
2000-12-09,5.75
2000-12-10,5.77
2000-12-11,5.78
2000-12-12,5.79
2000-12-13,5.8
2000-12-14,5.81
2000-12-15,5.82
2000-12-16,5.83
2000-12-17,5.84
2000-12-18,5.85
2000-12-19,5.85
2000-12-20,5.86
2000-12-21,5.86
2000-12-22,5.34
2000-12-23,5.18
2000-12-24,4.95
2000-12-25,4.91
2000-12-26,4.89
2000-12-27,4.58
2000-12-28,4.56
2000-12-29,4.54
2000-12-30,4.51
2000-12-31,4.5
2001-01-01,4.47
2001-01-02,4.47
2001-01-03,4.46
2001-01-04,4.46
2001-01-05,4.45
2001-01-06,4.4
2001-01-07,4.31
2001-01-08,4.27
2001-01-09,4.24
2001-01-10,4.23
2001-01-11,4.19
2001-01-12,4.1
2001-01-13,4.06
2001-01-14,4.02
2001-01-15,3.99
2001-01-16,3.96
2001-01-17,3.94
2001-01-18,3.92
2001-01-19,3.92
2001-01-20,3.91
2001-01-21,3.9
2001-01-22,3.89
2001-01-23,3.9
2001-01-24,3.9
2001-01-25,3.91
2001-01-26,3.92
2001-01-27,3.91
2001-01-28,3.83
2001-01-29,3.78
2001-01-30,3.75
2001-01-31,3.72
2001-02-01,3.7
2001-02-02,3.68
2001-02-03,3.66
2001-02-04,3.65
2001-02-05,3.65
2001-02-06,3.64
2001-02-07,3.13
2001-02-08,2.7
2001-02-09,2.48
2001-02-10,2.24
2001-02-11,2.02
2001-02-12,1.86
2001-02-13,1.74
2001-02-14,1.68
2001-02-15,1.68
2001-02-16,1.71
2001-02-17,1.75
2001-02-18,1.79
2001-02-19,1.85
2001-02-20,1.92
2001-02-21,1.99
2001-02-22,2.05
2001-02-23,2.1
2001-02-24,2.16
2001-02-25,2.24
2001-02-26,2.31
2001-02-27,2.37
2001-02-28,2.45
2001-03-01,2.49
2001-03-02,2.39
2001-03-03,2.11
2001-03-04,1.99
2001-03-05,1.77
2001-03-06,1.58
2001-03-07,1.36
2001-03-08,1.16
2001-03-09,1.0
2001-03-10,0.91
2001-03-11,0.84
2001-03-12,0.84
2001-03-13,0.87
2001-03-14,0.89
2001-03-15,0.93
2001-03-16,1.0
2001-03-17,1.08
2001-03-18,1.16
2001-03-19,1.25
2001-03-20,1.33
2001-03-21,1.41
2001-03-22,1.48
2001-03-23,1.55
2001-03-24,1.64
2001-03-25,1.73
2001-03-26,1.81
2001-03-27,1.9
2001-03-28,1.99
2001-03-29,2.04
2001-03-30,2.09
2001-03-31,2.12
2001-04-01,2.16
2001-04-02,2.21
2001-04-03,2.26
2001-04-04,2.3
2001-04-05,2.35
2001-04-06,2.38
2001-04-07,2.42
2001-04-08,2.46
2001-04-09,2.49
2001-04-10,2.51
2001-04-11,2.54
2001-04-12,2.57
2001-04-13,2.59
2001-04-14,2.63
2001-04-15,2.66
2001-04-16,2.69
2001-04-17,2.71
2001-04-18,2.85
2001-04-19,2.83
2001-04-20,2.85
2001-04-21,2.9
2001-04-22,2.93
2001-04-23,2.97
