Date,597/91
1990-10-02,9.76
1990-11-05,10.5
1990-12-04,10.93
1991-01-04,8.9
1991-02-04,8.88
1991-03-04,7.75
1991-04-02,7.45
1991-05-03,7.8
1991-06-04,8.02
1991-07-01,8.9
1991-08-01,9.2
1991-09-03,9.56
1991-10-02,11.75
1991-11-05,12.8
1991-12-03,13.5
1992-01-03,13.9
1992-02-04,9.95
1992-03-06,10.0
1992-04-02,10.4
1992-05-05,10.45
1992-06-02,12.48
1992-07-02,14.55
1992-08-04,17.0
1992-09-02,18.26
1992-10-02,20.03
1992-11-03,21.37
1992-12-03,22.5
1993-01-06,12.9
1993-02-02,10.64
1993-03-02,9.4
1993-04-02,8.88
1993-05-04,9.3
1993-06-02,9.23
1993-07-02,10.7
1993-08-03,13.75
1993-09-02,16.0
1993-10-02,17.9
1993-11-02,14.98
1993-12-03,14.3
1994-01-04,9.2
1994-02-03,9.2
1994-03-02,8.9
1994-04-05,9.05
1994-05-03,8.7
1994-06-03,9.62
1994-07-06,11.1
1994-08-08,12.3
1994-09-02,12.4
1994-10-03,17.7
1994-11-03,17.0
1994-12-05,19.75
1995-01-03,19.8
1995-02-02,19.52
1995-03-02,15.58
1995-04-05,16.32
1995-05-03,17.85
1995-06-05,18.92
1995-07-05,19.72
1995-10-03,23.95
1995-11-04,24.35
1995-12-05,22.55
1996-01-03,7.5
1996-02-01,1.33
1996-03-04,3.87
1996-04-03,3.59
1996-06-05,7.1
1996-07-02,7.86
1996-08-01,8.29
1996-09-02,8.8
1996-10-01,9.1
1996-11-05,9.86
1997-01-03,5.93
1997-02-04,5.42
1997-04-02,7.68
1997-05-05,8.3
1997-06-02,8.55
1997-07-02,9.0
1997-08-01,9.8
1997-09-02,11.23
1997-11-04,12.64
1997-12-02,8.5
1998-01-06,8.43
1998-02-02,5.31
1998-03-03,5.6
1998-04-02,6.95
1998-06-02,7.77
1998-07-02,8.2
1998-08-05,8.95
1998-09-01,10.8
1998-10-06,11.7
1998-11-03,11.75
1998-12-04,13.3
1999-01-05,14.2
1999-02-04,15.12
1999-03-02,15.95
