Date,600/300
2020-09-01,5.56
2020-10-12,5.57
2020-11-12,5.3
2020-12-14,4.85
2021-01-05,4.76
2021-02-08,4.72
2021-03-01,4.71
2021-04-08,4.79
2021-05-05,4.98
2021-06-08,5.03
2021-07-12,5.19
2021-08-05,5.25
2021-09-09,5.4
2021-10-13,5.21
2021-11-09,5.24
2021-12-14,5.19
2022-01-06,4.97
2022-02-14,5.07
2022-03-07,5.11
2022-04-11,4.8
2022-05-16,4.98
2022-06-13,5.12
2022-07-11,5.23
2022-08-08,5.46
2022-09-05,5.51
2022-10-10,5.44
2022-11-03,5.42
2022-12-22,4.74
2023-01-17,4.64
2023-02-10,4.69
2023-03-09,4.7
2023-04-05,4.81
2023-05-18,5.05
2023-06-09,5.09
2023-07-11,5.27
2023-08-07,5.38
2023-09-12,5.6
2023-10-09,5.62
2023-11-06,5.27
2023-12-11,5.15
2024-01-15,5.15
2024-02-05,5.01
2024-03-27,4.9
2024-05-15,5.05
2024-06-05,5.25
2024-07-10,5.6
2024-08-07,5.82
2024-09-04,6.0
2024-10-02,6.0
2024-11-06,5.6
2024-12-18,5.0
2025-01-22,4.86
