Date,597/84
1990-10-02,8.07
1990-11-05,5.46
1990-12-04,5.04
1991-01-04,4.12
1991-02-04,4.13
1991-03-04,2.2
1991-04-02,2.4
1991-05-03,2.25
1991-06-04,3.3
1991-07-01,3.85
1991-08-01,3.9
1991-09-03,3.98
1991-10-02,5.55
1991-11-05,5.4
1991-12-03,6.0
1992-01-03,5.2
1992-02-04,4.55
1992-03-06,4.6
1992-04-02,5.15
1992-05-05,5.18
1992-06-02,5.25
1992-07-02,5.78
1992-08-04,6.0
1992-09-02,6.53
1992-10-02,5.55
1992-11-03,6.78
1992-12-03,7.0
1993-01-06,2.4
1993-02-02,3.1
1993-03-02,3.2
1993-04-02,3.3
1993-05-04,3.9
1993-06-02,4.18
1993-07-02,4.48
1993-08-03,4.9
1993-09-02,5.8
1993-10-01,6.0
1993-11-02,1.88
1993-12-03,1.46
1994-01-04,2.68
1994-02-03,2.68
1994-03-02,2.1
1994-04-05,3.02
1994-05-03,3.4
1994-06-03,3.44
1994-07-04,5.25
1994-08-08,5.2
1994-09-02,5.2
1994-10-03,5.25
1994-11-03,5.2
1994-12-05,3.72
1995-01-03,4.4
1995-02-02,4.38
1995-03-02,4.36
1995-04-05,4.4
1995-05-03,4.4
1995-06-05,4.87
1995-07-05,5.3
1995-08-01,5.57
1995-10-03,5.98
1995-11-04,6.6
1995-12-05,3.74
1996-01-03,1.7
1996-02-01,1.6
1996-03-04,2.18
1996-04-03,2.0
