Date,608/286
1990-10-03,6.8
1990-10-06,10.8
1990-11-06,10.38
1990-11-07,7.0
1990-12-06,5.8
1990-12-08,10.2
1991-01-01,10.05
1991-01-08,4.9
1991-02-06,10.0
1991-03-01,9.92
1991-03-07,3.9
1991-04-03,3.9
1991-04-06,10.6
1991-05-08,4.0
1991-06-06,4.45
1991-07-05,5.28
1991-08-08,6.18
1991-10-07,6.6
1991-11-07,6.5
1991-12-04,6.5
1992-01-06,6.2
1992-02-06,6.1
1992-03-02,6.1
1992-04-07,6.21
1992-05-06,6.28
1992-07-07,7.8
1992-08-03,8.6
1992-10-01,8.95
1992-11-06,8.82
1992-12-07,8.88
1993-01-07,7.65
1993-02-03,7.63
1993-03-04,7.6
1993-04-05,7.27
1993-05-05,7.4
1993-06-03,8.43
1993-07-06,9.0
1993-08-04,8.9
1993-09-03,9.21
1993-10-08,9.92
1993-11-05,8.95
1993-12-07,8.53
1994-01-05,8.36
1994-02-07,8.25
1994-03-02,8.18
1994-04-08,9.5
1994-05-04,8.72
1994-07-07,9.9
1994-08-10,10.7
1994-09-12,11.0
1994-10-07,10.8
1994-11-07,10.38
1994-12-09,10.2
1995-01-02,10.05
1995-02-07,10.0
1995-03-02,9.92
1995-04-07,10.6
1995-05-05,10.8
1995-06-07,11.3
1995-07-07,11.4
1995-08-03,12.8
1995-10-04,12.9
1995-11-05,12.95
1995-12-12,11.75
1996-01-04,11.0
1996-02-06,8.15
1996-03-06,7.9
1996-04-11,6.96
1996-06-07,8.26
1996-07-04,8.13
1996-08-05,8.18
1996-09-03,9.8
1996-10-01,9.54
1996-12-04,9.55
1997-01-06,6.1
1997-02-06,5.5
1997-03-05,5.86
1997-05-07,6.29
1997-06-06,6.55
1997-07-07,8.2
1997-09-04,8.25
1997-11-06,7.85
1997-12-05,7.35
1998-01-08,5.75
1998-02-04,5.43
1998-03-05,5.4
1998-04-03,5.13
1998-05-11,6.4
1998-06-05,5.58
1998-07-03,7.4
1998-10-07,7.0
1998-11-06,7.06
1998-12-03,7.12
1999-01-11,7.4
1999-02-03,7.17
1999-03-03,7.14
1999-05-07,7.6
1999-08-06,9.56
1999-09-06,9.82
1999-10-11,9.81
1999-11-04,9.54
1999-12-06,9.49
2000-01-05,9.32
2000-02-07,9.2
2000-03-02,9.46
2000-04-06,9.38
2000-05-05,9.15
2000-07-10,10.45
2000-09-09,11.14
2000-10-09,10.75
2000-11-08,10.8
2000-12-06,10.58
2001-01-11,9.77
2001-02-07,9.18
2001-03-09,8.7
2001-04-06,8.45
2001-05-02,8.4
2001-06-05,8.82
2001-07-09,9.1
2001-08-06,9.28
2001-10-03,9.6
2001-11-07,9.3
2001-12-06,9.03
2002-01-07,7.3
2002-02-07,7.28
2002-03-04,6.3
2002-04-04,7.14
2002-05-10,7.2
2002-06-12,7.32
2002-07-01,7.6
2002-08-13,8.03
2002-10-04,8.0
2002-11-05,7.75
2002-12-10,7.3
2003-01-13,7.1
2003-02-07,6.75
2003-03-07,6.6
2003-04-03,6.38
2003-05-09,6.25
2003-06-11,6.22
2003-07-08,6.9
2003-08-07,7.07
2003-09-04,7.4
2003-10-01,7.57
2003-11-07,7.36
2003-12-09,6.68
2004-01-09,6.33
2004-02-11,6.38
2004-03-05,6.0
2004-04-14,5.9
2004-05-07,6.0
2004-06-04,6.12
2004-07-12,6.31
2004-08-06,6.76
2004-09-09,7.2
2004-10-14,7.4
2004-11-12,7.24
2004-12-09,7.12
2005-01-06,7.12
2005-02-09,7.1
2005-03-07,7.2
2005-05-05,7.37
2005-06-09,7.66
2005-07-04,7.85
2005-08-05,8.08
2005-09-06,8.12
2005-10-11,8.27
2005-12-07,7.75
2006-01-03,7.73
2006-02-07,7.36
2006-03-03,7.24
2006-04-06,7.1
2006-06-01,7.15
2006-07-06,7.51
2006-08-08,7.87
2006-09-14,8.26
2006-10-09,8.37
2006-11-02,8.33
2006-12-07,7.03
2007-01-10,7.07
2007-02-09,7.0
2007-04-13,6.95
2007-05-09,6.97
2007-05-31,6.96
2007-08-13,7.45
2007-09-19,7.5
2007-10-18,7.56
2007-11-16,7.72
2007-12-12,7.71
2008-01-15,7.22
2008-02-11,7.21
2008-03-10,7.1
2008-04-07,7.0
2008-05-14,6.6
2008-06-09,6.72
2008-07-04,6.91
2008-08-11,7.12
2008-09-04,7.36
2008-10-01,5.38
2008-12-10,6.64
2009-01-13,6.53
2009-02-06,6.1
2009-03-12,5.86
2009-06-05,5.9
2009-07-03,6.18
2009-08-06,6.45
2009-09-04,6.8
2009-10-02,7.08
2009-11-10,7.18
2009-12-10,7.44
2010-01-18,3.68
2010-02-05,4.6
2010-03-17,3.24
2010-04-16,3.34
2010-05-05,3.28
2010-06-11,3.22
2010-07-02,3.46
2010-08-11,4.04
2010-09-01,4.16
2010-10-04,4.62
2010-11-12,4.82
2010-12-03,4.6
2011-01-04,3.13
2011-02-07,3.55
2011-03-03,3.3
2011-04-14,2.42
2011-05-13,2.3
2011-06-17,2.3
2011-07-19,2.75
2011-08-24,3.26
2011-09-15,3.3
2011-11-08,3.72
2012-01-30,3.8
2012-03-01,3.8
2012-04-04,3.7
2012-05-02,3.87
2012-06-21,4.08
2012-07-02,4.33
2012-08-07,5.04
2012-09-06,5.42
2012-10-04,5.7
2012-11-13,5.34
2012-12-18,5.18
2013-01-23,5.3
2013-02-14,5.3
2013-03-14,4.93
2013-04-12,4.82
2013-05-10,5.04
2013-06-20,5.42
2013-08-01,7.67
2013-09-02,6.15
2013-09-30,6.24
2013-11-25,6.35
2014-01-22,6.14
2014-02-27,6.09
2014-05-21,5.98
2014-07-04,6.3
2014-08-01,6.54
2014-09-15,6.87
2014-10-02,7.05
2014-12-01,6.39
2015-01-09,6.53
2015-02-06,6.35
2015-03-03,6.43
2015-04-02,6.52
2015-05-15,6.53
2015-06-12,6.83
2015-07-23,7.25
2015-09-04,7.59
2015-10-02,7.79
2015-11-09,7.65
2015-12-17,7.95
2016-01-08,7.46
2016-02-04,7.48
2016-03-04,7.45
2016-03-29,7.52
2016-04-12,7.56
2016-05-05,7.62
2016-07-01,7.78
2016-08-04,8.05
2016-09-16,8.3
2016-10-18,8.45
2016-11-23,8.25
2016-12-21,7.84
2017-01-11,7.85
2017-02-10,7.82
2017-03-03,7.32
2017-04-12,7.32
2017-05-23,7.4
2017-06-12,7.54
2017-07-07,7.8
2017-08-04,7.95
2017-09-05,8.37
2017-10-04,8.5
2017-11-10,8.5
2017-12-11,8.45
2018-01-04,8.43
2018-02-05,8.32
2018-03-12,7.75
2018-04-09,7.48
2018-05-11,7.15
2018-06-20,7.45
2018-07-10,7.53
2018-08-13,7.57
2018-09-04,7.75
2018-10-12,8.0
2018-11-16,7.7
2018-12-19,7.45
2019-01-10,7.47
2019-02-07,7.4
2019-03-14,7.38
2019-04-08,7.44
2019-05-17,7.48
2019-06-05,7.65
2019-07-08,7.86
2019-08-08,8.08
2019-09-11,8.35
2019-10-04,8.47
2019-11-11,9.78
2019-12-09,8.55
2020-01-20,8.36
2020-02-10,8.32
2020-03-16,8.42
2020-04-02,8.27
2020-05-07,8.16
2020-06-01,8.18
2020-07-01,8.44
2020-08-01,8.66
2020-09-01,8.85
2020-10-12,9.0
2020-11-12,8.84
2020-12-14,7.28
2021-01-05,7.48
2021-02-08,7.36
2021-04-07,7.67
2021-05-07,7.06
2021-06-09,7.2
2021-07-02,7.17
2021-08-05,7.59
2021-09-09,7.82
2021-10-08,7.75
2021-11-05,7.87
2021-12-06,7.73
