Date,559/1
2000-10-11,45.9
2000-11-13,13.35
2000-12-13,7.91
2001-01-16,5.05
2001-02-13,3.96
2001-03-20,4.3
2001-04-26,3.24
2001-05-29,29.44
2001-06-19,31.3
2001-07-31,30.13
2001-09-11,31.06
2002-01-08,7.02
2002-03-05,5.62
2002-04-02,5.78
2002-05-07,12.32
2002-06-04,20.24
2002-07-09,31.26
2002-07-31,31.49
2002-09-03,31.98
2002-10-01,21.59
2002-11-27,5.44
2003-01-02,3.84
2003-02-02,3.28
2003-03-04,3.32
2003-04-04,4.5
2003-05-05,4.95
2003-06-02,12.69
2003-07-01,22.63
2003-08-19,30.61
2003-09-19,26.5
2003-10-08,21.04
2003-11-05,18.97
2003-12-16,5.15
2004-02-18,4.48
