Date,428/37
2010-10-26,4.76
2010-11-24,4.87
2011-01-26,4.14
2011-02-23,4.1
2011-03-23,3.92
2011-05-05,4.0
2011-07-01,4.22
2011-07-28,4.38
2011-08-25,4.47
2011-09-29,4.67
2011-10-27,4.7
2011-12-02,4.8
2012-01-26,5.22
2012-03-29,5.52
2012-04-26,7.64
2012-05-31,5.69
2012-06-28,5.62
2012-08-01,5.6
2012-09-06,5.47
2012-09-27,5.38
2012-10-25,5.45
2012-11-29,5.5
2012-12-27,5.48
2013-01-30,5.33
2013-02-28,5.47
2013-04-05,3.95
2013-08-02,3.6
2013-09-19,3.82
2013-10-17,4.13
2013-11-14,4.08
2013-12-18,4.52
2014-01-21,4.0
2014-03-11,3.35
2014-10-09,4.28
2014-11-11,4.36
2014-12-12,4.33
2015-01-07,4.56
2015-03-25,5.08
2015-05-19,4.8
2015-06-18,4.7
2015-08-06,4.39
2015-09-17,4.65
2015-11-13,4.84
2016-01-14,4.99
2016-02-24,5.18
2016-04-13,5.4
2016-05-17,5.2
2016-06-23,5.06
2016-08-10,4.89
2016-09-15,4.77
2016-10-25,4.89
2016-12-06,5.1
2017-01-05,5.27
2017-02-09,5.49
2017-03-09,5.2
2017-03-30,5.3
2017-04-11,5.25
2017-04-26,5.16
2017-05-29,5.17
2017-05-30,5.09
2017-05-31,5.08
2017-06-01,5.07
2017-06-02,5.06
2017-06-03,5.05
2017-06-04,5.05
2017-06-05,5.04
2017-06-06,5.04
2017-06-07,5.04
2017-06-08,5.03
2017-06-09,5.03
2017-06-10,5.03
2017-06-11,5.02
2017-06-12,5.02
2017-06-13,5.02
2017-06-14,5.02
2017-06-15,5.02
2017-06-16,5.01
2017-06-17,5.02
2017-06-18,5.0
2017-06-19,5.0
2017-06-20,5.0
2017-06-21,5.0
2017-06-22,5.01
2017-06-23,5.01
2017-06-24,5.01
2017-06-25,5.0
2017-06-26,5.0
2017-06-27,5.0
2017-06-28,5.01
2017-06-29,5.01
2017-06-30,5.01
2017-07-01,5.03
2017-07-02,5.05
2017-07-03,5.06
2017-07-04,5.07
2017-07-05,5.07
2017-07-06,5.07
2017-07-07,5.08
2017-07-08,5.08
2017-07-09,5.09
2017-07-10,5.09
2017-07-11,5.08
2017-07-12,5.08
2017-07-13,5.09
2017-07-14,5.09
2017-07-15,5.08
2017-07-16,5.07
2017-07-17,5.07
2017-07-18,5.07
2017-07-19,5.08
2017-07-20,5.09
2017-07-21,5.09
2017-07-22,5.1
2017-07-23,5.11
2017-07-24,5.12
2017-07-25,5.13
2017-07-26,5.14
2017-07-27,5.15
2017-07-28,5.16
2017-07-29,5.13
2017-07-30,5.16
2017-07-31,5.17
2017-08-01,5.17
2017-08-02,5.17
2017-08-03,5.19
2017-08-04,5.2
2017-08-05,5.19
2017-08-06,5.18
2017-08-07,5.17
2017-08-08,5.17
2017-08-09,5.17
2017-08-10,5.17
2017-08-11,5.19
2017-08-12,5.2
2017-08-13,5.2
2017-08-14,5.19
2017-08-15,5.2
2017-08-16,5.2
2017-08-17,5.2
2017-08-18,5.2
2017-08-19,5.2
2017-08-20,5.2
2017-08-21,5.2
2017-08-22,5.2
2017-08-23,5.2
2017-08-24,5.2
2017-08-25,5.19
2017-08-26,5.18
2017-08-27,5.18
2017-08-28,5.18
2017-08-29,5.18
2017-08-30,5.18
2017-08-31,5.18
2017-09-01,5.18
2017-09-02,5.19
2017-09-03,5.19
2017-09-04,5.19
2017-09-05,5.2
2017-09-06,5.2
2017-09-07,5.19
2017-09-08,5.19
2017-09-09,5.19
2017-09-10,5.19
2017-09-11,5.19
2017-09-12,5.19
2017-09-13,5.2
2017-09-14,5.19
2017-09-15,5.19
2017-09-16,5.18
2017-09-17,5.19
2017-09-18,5.2
2017-09-20,5.22
2017-09-21,5.22
2017-09-22,5.22
2017-09-23,5.22
2017-09-24,5.23
2017-09-25,5.23
2017-09-26,5.23
2017-09-27,5.24
2017-09-28,5.24
2017-09-29,5.24
2017-09-30,5.24
2017-10-01,5.25
2017-10-02,5.25
2017-10-03,5.26
2017-10-04,5.25
2017-10-05,5.26
2017-10-06,5.26
2017-10-07,5.26
2017-10-08,5.26
2017-10-09,5.26
2017-10-10,5.26
2017-10-11,5.27
2017-10-12,5.27
2017-10-13,5.28
2017-10-14,5.28
2017-10-15,5.28
2017-10-16,5.28
2017-10-17,5.3
2017-10-18,5.31
2017-10-19,5.33
2017-10-20,5.35
2017-10-21,5.37
2017-10-22,5.38
2017-10-23,5.4
2017-10-24,5.42
2017-10-25,5.44
2017-10-26,5.46
2017-10-27,5.47
2017-10-28,5.49
2017-10-29,5.5
2017-10-30,5.51
2017-10-31,5.53
2017-11-01,5.54
2017-11-02,5.55
2017-11-03,5.56
2017-11-04,5.57
2017-11-05,5.58
2017-11-06,5.6
2017-11-07,5.62
2017-11-08,5.62
2017-11-09,5.63
2017-11-10,5.65
2017-11-11,5.65
2017-11-12,5.66
2017-11-13,5.66
2017-11-14,5.67
2017-11-15,5.69
2017-11-16,5.7
2017-11-17,5.72
2017-11-18,5.73
2017-11-19,5.74
2017-11-20,5.75
2017-11-21,5.8
2017-11-22,5.81
2017-11-23,5.82
2017-11-24,5.83
2017-11-25,5.84
2017-11-26,5.85
2017-11-27,5.86
2017-11-28,5.87
2017-11-29,5.87
2017-11-30,5.88
2017-12-01,5.89
2017-12-02,5.89
2017-12-03,5.9
2017-12-04,5.9
2017-12-05,5.9
2017-12-06,5.91
2017-12-07,5.91
2017-12-08,5.92
2017-12-09,5.92
2017-12-10,5.93
2017-12-11,5.92
2017-12-12,5.93
2017-12-13,5.93
2017-12-14,5.94
2017-12-15,5.94
2017-12-16,5.95
2017-12-17,5.95
2017-12-18,5.96
2017-12-19,5.97
2017-12-20,5.97
2017-12-21,5.98
2017-12-22,5.98
2017-12-23,5.99
2017-12-24,5.99
2017-12-25,6.0
2017-12-26,6.0
2017-12-27,6.0
2017-12-28,6.01
2017-12-29,6.02
2017-12-30,6.02
2017-12-31,6.03
2018-01-01,6.03
2018-01-02,6.04
2018-01-03,6.05
2018-01-04,6.05
2018-01-05,6.06
2018-01-06,6.03
2018-01-07,6.03
2018-01-08,6.05
2018-01-09,6.06
2018-01-10,6.06
2018-01-11,6.07
2018-01-12,6.07
2018-01-13,6.08
2018-01-14,6.06
2018-01-15,6.07
2018-01-16,6.08
2018-01-17,6.09
2018-01-18,6.09
2018-01-19,6.1
2018-01-20,6.11
2018-01-21,6.11
2018-01-22,6.12
2018-01-23,6.12
2018-01-24,6.13
2018-01-25,6.13
2018-01-26,6.14
2018-01-27,6.15
2018-01-28,6.15
2018-01-29,6.16
2018-01-30,6.17
2018-01-31,6.17
2018-02-01,6.18
2018-02-02,6.18
2018-02-03,6.19
2018-02-04,6.19
2018-02-05,6.2
2018-02-06,6.2
2018-02-07,6.21
2018-02-08,6.22
2018-02-09,6.22
2018-02-10,6.23
2018-02-11,6.24
2018-02-12,6.24
2018-02-13,6.25
2018-02-14,6.25
2018-02-15,6.26
2018-02-16,6.27
2018-02-17,6.27
2018-02-18,6.28
2018-02-19,6.28
2018-02-20,6.29
2018-02-21,6.29
2018-02-22,6.3
2018-02-23,6.32
2018-02-24,6.32
2018-02-25,6.33
2018-02-26,6.33
2018-02-27,6.33
2018-02-28,6.34
2018-03-01,6.32
2018-03-02,6.29
2018-03-03,6.19
2018-03-04,6.11
2018-03-05,6.04
2018-03-06,6.03
2018-03-07,6.04
2018-03-08,6.03
2018-03-09,6.0
2018-03-10,5.88
2018-03-11,5.83
2018-03-12,5.83
2018-03-13,5.88
2018-03-14,5.93
2018-03-15,5.84
2018-03-16,5.86
2018-03-17,5.89
2018-03-18,5.88
2018-03-19,5.9
2018-03-20,5.91
2018-03-21,5.93
2018-03-22,5.93
2018-03-23,5.94
2018-03-24,5.93
2018-03-25,5.95
2018-03-26,5.96
2018-03-27,5.97
2018-03-28,5.97
2018-03-29,5.97
2018-03-30,5.97
2018-03-31,5.98
2018-04-01,5.98
2018-04-02,5.98
2018-04-03,5.99
2018-04-04,6.0
2018-04-05,6.0
2018-04-06,6.0
2018-04-07,6.01
2018-04-08,6.0
2018-04-09,6.01
2018-04-10,6.01
2018-04-11,5.95
2018-04-12,5.97
2018-04-13,5.89
2018-04-14,5.92
2018-04-15,5.94
2018-04-16,5.93
2018-04-17,5.95
2018-04-18,5.98
2018-04-19,5.99
2018-04-20,6.0
2018-04-21,6.01
2018-04-22,6.0
2018-04-23,5.97
2018-04-24,5.98
2018-04-25,6.01
2018-04-26,6.03
2018-04-27,6.03
2018-04-28,5.99
2018-04-29,5.97
2018-04-30,5.97
2018-05-01,5.96
2018-05-02,5.97
2018-05-03,5.97
2018-05-04,5.95
2018-05-05,5.94
2018-05-06,5.94
2018-05-07,5.93
2018-05-08,5.93
2018-05-09,5.92
2018-05-10,5.92
2018-05-11,5.93
2018-05-12,5.92
2018-05-13,5.91
2018-05-14,5.91
2018-05-15,5.91
2018-05-16,5.9
2018-05-17,5.89
2018-05-18,5.88
2018-05-19,5.88
2018-05-20,5.88
2018-05-21,5.87
2018-05-22,5.87
2018-05-23,5.89
2018-05-24,5.9
2018-05-25,5.9
2018-05-26,5.9
2018-05-27,5.9
2018-05-28,5.91
2018-05-29,5.91
2018-05-30,5.9
2018-05-31,5.91
2018-06-01,5.91
2018-06-02,5.91
2018-06-03,5.91
2018-06-04,5.9
2018-06-05,5.9
2018-06-06,5.9
2018-06-07,5.9
2018-06-08,5.89
2018-06-09,5.88
2018-06-10,5.88
2018-06-11,5.88
2018-06-12,5.88
2018-06-13,5.88
2018-06-14,5.87
2018-06-15,5.86
2018-06-16,5.85
2018-06-17,5.84
2018-06-18,5.84
2018-06-19,5.84
2018-06-20,5.83
2018-06-21,5.83
2018-06-22,5.83
2018-06-23,5.82
2018-06-24,5.82
2018-06-25,5.82
2018-06-26,5.82
2018-06-27,5.82
2018-06-28,5.82
2018-06-29,5.81
2018-06-30,5.8
2018-07-01,5.8
2018-07-02,5.79
2018-07-03,5.78
2018-07-04,5.77
2018-07-05,5.77
2018-07-06,5.76
2018-07-07,5.75
2018-07-08,5.74
2018-07-09,5.73
2018-07-10,5.73
2018-07-11,5.72
2018-07-12,5.74
2018-07-13,5.76
2018-07-14,5.76
2018-07-15,5.76
2018-07-16,5.77
2018-07-17,5.77
2018-07-18,5.76
2018-07-19,5.76
2018-07-20,5.77
2018-07-21,5.77
2018-07-22,5.77
2018-07-23,5.77
2018-07-24,5.78
2018-07-25,5.78
2018-07-26,5.77
2018-07-27,5.77
2018-07-28,5.76
2018-07-29,5.76
2018-07-30,5.75
2018-07-31,5.75
2018-08-01,5.76
2018-08-02,5.76
2018-08-03,5.76
2018-08-04,5.76
2018-08-05,5.76
2018-08-06,5.76
2018-08-07,5.77
2018-08-08,5.76
2018-08-09,5.76
2018-08-10,5.76
2018-08-11,5.76
2018-08-12,5.75
2018-08-13,5.75
2018-08-14,5.76
2018-08-15,5.77
2018-08-16,5.77
2018-08-17,5.77
2018-08-18,5.77
2018-08-19,5.77
2018-08-20,5.77
2018-08-21,5.77
2018-08-22,5.76
2018-08-23,5.76
2018-08-24,5.75
2018-08-25,5.75
2018-08-26,5.74
2018-08-27,5.73
2018-08-28,5.72
2018-08-29,5.73
2018-08-30,5.73
2018-08-31,5.72
2018-09-01,5.72
2018-09-02,5.71
2018-09-03,5.7
2018-09-04,5.7
2018-09-05,5.7
2018-09-06,5.7
2018-09-07,5.7
2018-09-08,5.7
2018-09-09,5.69
2018-09-10,5.69
2018-09-11,5.69
2018-09-12,5.68
2018-09-13,5.67
2018-09-14,5.66
2018-09-15,5.67
2018-09-16,5.67
2018-09-17,5.67
2018-09-18,5.66
2018-09-19,5.66
2018-09-20,5.66
2018-09-21,5.67
2018-09-22,5.69
2018-09-23,5.7
2018-09-24,5.7
2018-09-25,5.7
2018-09-26,5.71
2018-09-27,5.72
2018-09-28,5.72
2018-09-29,5.72
2018-09-30,5.72
2018-10-01,5.73
2018-10-02,5.73
2018-10-03,5.74
2018-10-04,5.75
2018-10-05,5.75
2018-10-06,5.75
2018-10-07,5.75
2018-10-08,5.75
2018-10-09,5.75
2018-10-10,5.76
2018-10-11,5.77
2018-10-12,5.78
2018-10-13,5.78
2018-10-14,5.77
2018-10-15,5.78
2018-10-16,5.77
2018-10-17,5.78
2018-10-18,5.77
2018-10-19,5.77
2018-10-20,5.78
2018-10-21,5.79
2018-10-22,5.81
2018-10-23,5.82
2018-10-24,5.83
2018-10-25,5.84
2018-10-26,5.86
2018-10-27,5.87
2018-10-28,5.88
2018-10-29,5.9
2018-10-30,5.91
2018-10-31,5.93
2018-11-01,5.94
2018-11-02,5.95
2018-11-03,5.96
2018-11-04,5.96
2018-11-05,5.96
2018-11-06,5.98
2018-11-07,5.98
2018-11-08,5.99
2018-11-09,6.0
2018-11-10,6.01
2018-11-11,6.01
2018-11-12,6.01
2018-11-13,6.01
2018-11-14,6.01
2018-11-15,6.02
2018-11-16,6.03
2018-11-17,6.03
2018-11-18,6.04
2018-11-19,5.99
2018-11-20,6.01
2018-11-21,6.02
2018-11-22,6.04
2018-11-23,6.03
2018-11-24,6.04
2018-11-25,6.04
2018-11-26,6.04
2018-11-27,6.05
2018-11-28,6.05
2018-11-29,6.06
2018-11-30,6.06
2018-12-01,6.06
2018-12-02,6.07
2018-12-03,6.08
2018-12-04,6.08
2018-12-05,6.09
2018-12-06,6.09
2018-12-07,6.1
2018-12-08,6.11
2018-12-09,6.11
2018-12-10,6.12
2018-12-11,6.12
2018-12-12,6.13
2018-12-13,6.13
2018-12-14,6.14
2018-12-15,6.15
2018-12-16,6.15
2018-12-17,6.15
2018-12-18,6.16
2018-12-19,6.16
2018-12-20,6.17
2018-12-21,6.18
2018-12-22,6.18
2018-12-23,6.18
2018-12-24,6.19
2018-12-25,6.19
2018-12-26,6.2
2018-12-27,6.21
2018-12-28,6.21
2018-12-29,6.22
2018-12-30,6.22
2018-12-31,6.23
2019-01-01,6.24
2019-01-02,6.24
2019-01-03,6.25
2019-01-04,6.25
2019-01-05,6.26
2019-01-06,6.27
2019-01-07,6.27
2019-01-08,6.28
2019-01-09,6.28
2019-01-10,6.28
2019-01-11,6.29
2019-01-12,6.3
2019-01-13,6.3
2019-01-14,6.31
2019-01-15,6.31
2019-01-16,6.32
2019-01-17,6.32
2019-01-18,6.33
2019-01-19,6.33
2019-01-20,6.33
2019-01-21,6.34
2019-01-22,6.35
2019-01-23,6.35
2019-01-24,6.35
2019-01-25,6.36
2019-01-26,6.36
2019-01-27,6.36
2019-01-28,6.37
2019-01-29,6.37
2019-01-30,6.38
2019-01-31,6.38
2019-02-01,6.38
2019-02-02,6.37
2019-02-03,6.38
2019-02-04,6.38
2019-02-05,6.39
2019-02-06,6.39
2019-02-07,6.39
2019-02-08,6.4
2019-02-09,6.4
2019-02-10,6.41
2019-02-11,6.41
2019-02-12,6.41
2019-02-13,6.42
2019-02-14,6.42
2019-02-15,6.43
2019-02-16,6.43
2019-02-17,6.43
2019-02-18,6.44
2019-02-19,6.44
2019-02-22,6.44
2019-02-23,6.44
2019-02-24,6.45
2019-02-25,6.45
2019-02-26,6.46
2019-02-27,6.46
2019-02-28,6.47
2019-03-01,6.47
2019-03-02,6.47
2019-03-03,6.48
2019-03-04,6.48
2019-03-05,6.49
2019-03-06,6.49
2019-03-07,6.49
2019-03-08,6.49
2019-03-09,6.5
2019-03-10,6.5
2019-03-11,6.5
2019-03-12,6.51
2019-03-13,6.51
2019-03-14,6.51
2019-03-15,6.52
2019-03-16,6.52
2019-03-17,6.53
2019-03-18,6.53
2019-03-19,6.53
2019-03-20,6.54
2019-03-21,6.55
2019-03-22,6.55
2019-03-23,6.56
2019-03-24,6.56
2019-03-25,6.56
2019-03-26,6.57
2019-03-27,6.57
2019-03-28,6.58
2019-03-29,6.59
2019-03-30,6.6
2019-03-31,6.6
2019-04-01,6.61
2019-04-02,6.62
2019-04-03,6.62
2019-04-04,6.62
2019-04-05,6.62
2019-04-06,6.63
2019-04-07,6.63
2019-04-08,6.64
2019-04-09,6.64
2019-04-10,6.65
2019-04-11,6.66
2019-04-12,6.66
2019-04-13,6.66
2019-04-14,6.66
2019-04-15,6.66
2019-04-16,6.65
2019-04-17,6.65
2019-04-18,6.66
2019-04-19,6.66
2019-04-20,6.66
2019-04-21,6.67
2019-04-22,6.67
2019-04-23,6.67
2019-04-24,6.68
2019-04-25,6.67
2019-04-26,6.67
2019-04-27,6.67
2019-04-28,6.67
2019-04-29,6.66
2019-04-30,6.66
2019-05-01,6.65
2019-05-02,6.66
2019-05-03,6.67
2019-05-04,6.68
2019-05-05,6.67
2019-05-06,6.66
2019-05-07,6.66
2019-05-08,6.65
2019-05-09,6.64
2019-05-10,6.63
2019-05-11,6.63
2019-05-12,6.62
2019-05-13,6.61
2019-05-14,6.61
2019-05-15,6.62
2019-05-16,6.62
2019-05-17,6.63
2019-05-18,6.63
2019-05-19,6.63
2019-05-20,6.63
2019-05-21,6.62
2019-05-22,6.62
2019-05-23,6.63
2019-05-24,6.62
2019-05-25,6.61
2019-05-26,6.6
2019-05-27,6.6
2019-05-28,6.59
2019-05-29,6.59
2019-05-30,6.6
