Date,584/4
1993-07-13,3.5
1993-08-06,4.07
1993-09-10,4.47
1993-10-10,3.0
1993-11-09,1.1
1993-12-06,1.85
1994-01-07,2.1
1994-02-04,1.95
1994-03-08,1.45
1994-04-07,2.19
1994-05-04,1.4
1994-07-11,5.04
1994-08-16,6.0
1994-09-13,6.8
1994-10-11,3.03
1994-11-04,2.89
1994-12-07,1.8
1995-01-06,2.6
1995-02-06,2.55
1995-03-08,2.38
1995-04-11,2.7
1995-05-08,2.6
1995-06-09,3.05
1995-07-06,4.6
1995-08-04,5.01
1995-10-03,3.95
1995-11-09,3.79
1995-12-05,2.8
1996-01-04,1.08
1996-02-02,1.0
1996-03-07,1.2
1996-04-03,1.4
1996-05-09,1.14
1996-06-05,3.04
1996-08-02,4.18
1996-09-05,4.28
1996-10-05,4.15
1996-11-07,2.85
1996-12-10,2.52
1997-01-06,1.5
1997-02-06,1.3
1997-03-11,1.92
1997-04-07,2.22
1997-05-07,1.9
1997-06-09,2.42
1997-07-06,2.57
1997-08-07,4.55
1997-09-04,4.28
1997-10-03,2.9
1997-11-07,0.94
1997-11-27,1.02
1998-01-07,1.2
1998-02-06,1.1
1998-03-10,2.0
1998-04-06,2.37
1998-05-13,2.84
1998-06-05,2.5
1998-07-08,3.63
1998-08-13,5.0
1998-10-09,3.1
1998-11-10,2.98
1998-12-08,1.73
1999-01-20,2.8
1999-02-08,2.65
1999-03-10,2.54
1999-05-08,4.4
1999-05-10,2.63
1999-06-08,5.1
1999-08-29,6.24
1999-09-03,5.58
1999-10-01,3.25
1999-11-08,2.64
1999-12-06,2.3
2000-01-10,2.3
2000-02-03,2.15
2000-03-09,2.45
2000-04-06,2.66
2000-05-09,1.96
2000-06-06,2.3
2000-11-08,3.03
2000-12-06,2.9
2001-01-16,1.82
2001-02-06,1.4
2001-03-07,1.08
2001-04-04,1.85
2001-05-11,3.38
2001-06-07,3.48
2001-07-09,4.76
2001-08-09,5.4
2001-09-12,5.58
2001-10-09,3.15
2001-11-15,3.02
2001-12-05,2.96
2002-01-11,2.71
2002-02-06,1.9
2002-03-11,1.95
2002-04-03,2.4
2002-05-24,2.55
2002-06-06,3.05
2002-07-02,3.15
2002-08-13,5.65
2002-10-03,3.07
2002-11-12,2.85
2002-12-05,2.2
2003-01-10,1.18
2003-02-06,1.6
2003-03-11,1.55
2003-04-03,2.1
2003-05-13,2.15
2003-06-04,3.7
2003-08-05,5.85
2003-10-06,5.8
2003-11-06,2.93
2003-12-03,2.25
2004-01-12,1.66
2004-02-05,1.7
2004-03-08,2.0
2004-04-15,2.04
2004-05-12,1.96
2004-06-04,2.15
2004-07-17,5.81
2004-08-19,4.7
2004-09-08,4.7
2004-10-13,3.73
2004-11-11,3.42
2004-12-06,3.03
2005-01-06,2.98
2005-02-09,2.85
2005-03-04,2.8
2005-04-08,3.3
2005-05-04,3.48
2005-07-05,3.63
2005-07-29,3.75
2005-09-05,5.27
2005-10-14,5.32
2005-10-21,4.61
2005-10-28,4.23
2005-11-04,3.95
2005-11-11,3.74
2005-11-18,3.6
2005-11-27,1.12
2005-12-02,1.2
2006-01-05,1.2
2006-02-09,1.16
2006-03-07,1.18
2006-04-12,2.0
2006-05-09,3.43
2006-08-09,4.38
2006-09-08,3.66
2006-10-06,3.65
2006-11-08,0.65
2006-11-30,1.1
2007-01-04,1.82
2007-02-01,0.68
2007-03-02,0.73
2007-03-30,2.13
2007-05-02,2.2
2007-06-13,2.35
2007-07-12,4.61
2007-08-01,4.33
2007-09-06,2.93
2007-10-06,3.45
2007-11-08,3.02
2007-11-30,2.93
2008-01-03,1.0
2008-02-06,1.23
2008-03-04,1.12
2008-04-02,1.87
2008-05-06,2.1
2008-06-03,2.38
2008-08-06,4.93
2008-09-03,4.33
2008-10-02,3.06
2008-11-03,2.88
2008-12-04,2.8
2009-01-06,2.66
2009-02-09,1.0
2009-03-05,1.15
2009-04-02,2.1
2009-05-04,2.52
2009-06-02,3.12
2009-07-09,3.1
2009-08-14,3.2
2009-09-03,3.22
2009-10-06,3.14
2009-11-05,2.92
2009-12-02,2.9
2010-01-08,0.96
2010-02-01,1.16
2010-03-03,0.9
2010-04-13,1.88
2010-05-10,2.05
2010-06-07,2.5
2010-07-06,2.65
2010-08-04,2.88
2010-09-09,3.04
2010-10-13,2.95
2010-11-18,2.78
2011-01-11,1.04
2011-02-03,1.2
2011-03-04,1.34
2011-03-31,1.58
2011-05-05,1.05
2011-06-17,2.15
2011-07-05,2.64
2011-08-23,2.84
2011-09-12,2.92
2012-02-06,2.47
2012-03-05,2.44
2012-04-05,2.38
2012-05-03,2.44
2012-06-19,2.77
2012-07-05,2.95
2012-08-09,3.04
2012-09-04,3.11
2012-10-11,3.03
2012-11-24,1.55
2012-12-11,2.08
2013-01-15,2.2
2013-02-22,1.75
2013-03-22,0.84
2013-04-26,1.83
2013-05-23,2.32
2013-06-23,2.3
2013-07-19,2.74
2013-08-29,2.96
2013-09-23,3.04
2013-11-28,2.78
