Date,602/81
1990-10-01,4.35
1990-11-02,4.24
1990-12-03,4.15
1991-01-03,2.2
1991-02-01,2.98
1991-03-01,0.9
1991-04-02,2.15
1991-05-02,2.3
1991-06-03,2.47
1991-07-03,2.65
1991-08-01,4.0
1991-09-03,4.2
1991-10-01,4.7
1991-11-05,4.62
1991-12-02,4.75
1992-01-03,5.1
1992-02-04,4.05
1992-03-05,4.15
1992-04-02,4.4
1992-05-04,4.6
1992-06-01,4.9
1992-07-01,4.83
1992-08-03,4.92
1992-09-01,5.4
1992-10-01,5.7
1992-11-03,5.75
1992-12-03,5.93
1993-01-04,2.98
1993-02-02,3.8
1993-03-01,2.75
1993-04-01,2.38
1993-05-03,3.02
1993-06-03,3.3
1993-07-01,3.61
1993-08-02,4.4
1993-09-03,4.4
1993-10-06,4.65
1993-11-02,2.75
1993-12-03,2.21
1994-01-04,3.11
1994-02-02,2.56
1994-03-02,2.56
1994-04-04,2.76
1994-05-03,2.8
1994-06-01,3.41
1994-07-04,4.3
1994-08-04,4.2
1994-09-01,4.47
1994-10-06,4.81
1994-11-03,4.93
1995-01-02,5.04
1995-02-02,5.1
1995-03-02,4.78
1995-04-04,5.0
1995-05-02,5.12
1995-06-01,5.28
1995-07-04,5.55
1995-08-02,5.75
1995-10-02,6.03
1995-11-02,6.4
1995-12-07,1.43
1996-01-03,0.56
1996-01-30,0.5
1996-03-01,1.4
