Date,595/80
1990-11-05,46.89
1990-12-04,46.9
1991-01-04,46.92
1991-02-04,47.5
1991-03-04,47.7
1991-04-03,47.56
1991-05-03,47.88
1991-06-04,48.5
1991-10-02,49.5
1991-11-04,52.1
1991-12-03,52.42
1992-01-02,51.3
1992-02-06,51.37
1992-03-06,51.4
1992-04-03,53.1
1992-09-02,57.0
1993-01-05,58.5
1993-02-01,57.9
1993-05-04,58.05
1993-06-01,58.18
1993-07-02,59.1
1993-08-03,60.0
1993-09-06,61.2
1993-10-06,61.71
1993-11-06,61.5
1993-12-02,60.0
1994-02-03,59.55
1994-03-02,59.52
1994-11-02,59.7
1994-12-05,58.3
1995-01-03,61.31
1995-02-01,61.4
1995-12-06,65.23
1996-01-02,64.2
1996-01-31,63.1
1996-03-04,62.8
