Date,414/70
1998-06-17,1.06
1998-08-12,1.18
1998-09-17,1.15
1998-10-15,1.45
1998-11-04,1.19
1999-01-15,1.74
1999-03-09,1.62
1999-06-23,1.55
2000-04-19,1.21
2000-06-21,1.26
2001-01-25,0.76
2001-03-27,0.82
2001-06-08,1.14
2001-09-20,1.62
2001-12-14,1.5
2002-01-20,1.52
2002-03-27,1.34
2002-04-29,1.4
2002-06-28,1.65
2002-09-25,1.89
2002-10-22,1.86
2002-11-27,1.83
2003-01-28,1.37
2003-04-29,1.28
2003-06-06,1.86
2003-07-24,1.83
2003-10-23,1.84
2003-11-17,1.24
2004-02-11,1.01
2004-04-22,1.21
2004-06-09,1.33
2004-07-09,1.58
2004-09-21,1.75
2004-10-21,1.7
2004-11-11,1.57
2004-12-16,1.7
2005-01-13,1.47
2005-02-17,1.51
2005-03-16,1.79
2005-04-08,1.74
2005-07-06,1.65
2005-09-16,1.98
2005-10-12,1.82
2006-01-26,1.93
2006-03-29,1.83
2006-05-10,1.81
2006-06-30,1.68
2006-07-28,1.63
2006-09-28,1.89
2006-12-15,1.25
2007-01-29,1.39
2007-03-30,1.54
2007-06-29,1.35
2010-01-22,1.13
2010-10-20,1.12
2010-11-24,0.8
2011-01-26,0.7
2011-02-23,0.63
2011-03-23,0.69
2011-05-05,0.73
2011-05-26,0.77
