Date,524/85
2000-10-10,29.04
2000-11-16,29.25
2000-12-19,29.13
2001-01-17,22.88
2001-02-15,21.12
2001-03-22,20.9
2001-05-04,23.45
2001-05-31,23.98
2001-06-22,24.42
2001-08-02,24.97
2001-09-12,25.34
2002-01-10,29.31
2002-03-07,26.57
2002-04-03,28.8
2002-05-08,29.26
2002-06-05,25.52
2002-07-09,25.86
2002-08-01,26.31
2002-09-04,26.92
2002-10-02,27.33
2002-11-29,27.88
2003-01-03,27.51
2003-02-03,26.22
2003-03-03,24.03
2003-04-03,24.58
2003-05-06,24.98
2003-06-03,25.29
2003-07-01,25.54
2003-08-20,34.17
2003-11-06,36.53
2003-12-17,25.05
2004-02-19,25.59
