Date,606/1092
2021-06-15,8.08
2021-07-08,6.42
2021-08-02,6.56
2021-09-08,6.7
2021-10-11,6.43
2021-11-08,6.09
2021-12-07,5.68
2022-01-06,5.17
2022-02-09,5.22
2022-03-08,5.28
2022-04-12,4.73
2022-05-05,5.08
2022-06-02,5.81
2022-07-20,6.66
2022-08-18,6.71
2022-09-13,6.65
2022-10-17,6.3
2022-11-07,5.61
2022-12-20,4.76
2023-01-20,4.59
2023-02-03,4.85
2023-03-10,4.77
2023-04-11,5.44
2023-05-11,6.0
2023-06-14,6.0
2023-07-17,6.93
2023-08-22,7.07
2023-09-11,6.7
2023-10-13,6.7
2023-11-10,5.56
2023-12-06,5.25
2024-01-04,5.33
2024-02-06,5.18
2024-04-05,3.4
2024-05-14,5.63
2024-07-08,6.49
2024-08-06,6.63
2025-01-16,5.17
