Date,523/30
2000-10-10,2.87
2000-11-14,1.39
2000-12-19,1.51
2001-01-17,-0.4
2001-02-14,-0.9
2001-03-23,-0.63
2001-05-02,-0.4
2001-05-30,-0.28
2001-06-20,0.0
2001-08-02,0.2
2001-09-12,0.31
2002-01-09,1.46
2002-03-05,1.55
2002-04-02,0.75
2002-05-07,0.9
2002-06-04,1.09
2002-07-11,1.34
2002-07-31,1.45
2002-09-04,1.63
2002-10-01,1.75
2002-11-28,1.7
2003-02-03,1.21
2003-03-03,0.75
2003-04-03,0.62
2003-05-06,0.73
2003-06-03,0.9
2003-07-01,1.23
2003-08-20,1.61
2003-09-20,1.7
2003-10-09,1.66
2003-11-06,1.36
2003-12-17,1.16
2004-02-19,2.55
