Date,414/67
1998-04-08,6.07
1998-06-18,6.36
1998-08-12,6.58
1998-09-17,6.81
1998-10-15,7.06
1998-11-04,7.08
1999-01-15,7.26
1999-03-09,7.43
1999-06-24,7.55
1999-09-22,7.35
1999-12-17,7.34
2000-04-19,7.47
2000-06-20,7.37
2001-01-25,6.61
2001-03-26,5.97
2001-06-08,6.37
2001-12-14,6.99
2002-01-30,7.38
2002-03-22,7.04
2002-04-24,7.13
2002-06-12,7.18
2002-09-30,7.32
2002-10-24,7.36
2002-11-27,7.07
2003-01-29,7.09
2003-04-29,7.12
2003-06-18,7.29
2003-10-23,7.25
2003-11-27,7.09
2004-02-11,6.77
2004-04-22,6.79
2004-06-09,6.97
2004-07-09,6.98
2005-01-13,7.17
2005-02-17,7.29
2005-03-30,7.43
2005-04-11,7.32
2005-05-06,7.36
2005-07-06,7.56
2005-09-16,7.66
2005-10-24,7.62
2006-01-30,7.36
2006-03-29,7.19
2006-05-10,7.36
2006-06-28,7.47
2006-07-28,7.57
2006-09-29,7.72
2006-10-23,7.51
2006-12-15,6.51
2007-01-31,6.6
2007-03-30,6.65
2007-06-29,7.95
2010-01-22,6.7
2010-10-26,6.7
2010-11-24,6.61
2010-12-20,6.5
2011-01-26,7.91
2011-02-23,7.9
2011-03-23,8.03
2011-05-02,8.24
2011-05-26,6.4
2011-07-01,6.61
2011-07-28,8.74
2011-08-25,6.77
2011-09-29,6.84
2011-10-27,6.76
2012-03-29,6.93
2012-05-31,7.03
2012-06-28,7.6
2012-08-01,7.08
2012-09-06,7.01
2012-09-27,6.96
2012-11-29,6.87
2012-12-27,6.83
2013-01-30,6.67
2013-02-28,6.63
2013-04-05,5.98
2013-08-02,6.67
2013-09-19,6.81
2013-10-17,6.81
2013-11-14,7.02
2013-12-18,6.74
2014-01-21,6.62
2014-03-11,6.28
2014-10-09,6.87
2014-12-12,6.7
2015-01-07,6.75
2015-03-25,6.77
2015-05-19,6.92
2015-06-18,6.88
2015-09-17,7.2
2015-11-13,7.05
2016-01-14,6.98
2016-02-24,6.99
2016-05-17,6.92
2016-06-23,6.96
2016-08-10,7.07
2016-09-15,7.15
2016-10-25,7.09
2016-12-06,7.02
2017-01-05,6.92
2017-02-09,6.91
2017-03-09,6.4
2017-04-26,6.45
2017-05-29,6.58
2017-06-20,6.68
2017-06-21,6.7
2017-06-22,6.71
2017-06-23,6.72
2017-06-24,6.72
2017-06-25,6.71
2017-06-26,6.71
2017-06-27,6.71
2017-06-28,6.72
2017-06-29,6.72
2017-06-30,6.72
2017-07-01,6.73
2017-07-02,6.73
2017-07-03,6.73
2017-07-04,6.73
